INSTITUTE_NAME,DEPARTMENT,RANK_PREDICTOR,CATEGORY
IIT (BHU) Varanasi,Mathematics & Computing,697,ST
IIT Kanpur,Materials Science Engineering,698,ST
IIT Kharagpur,Ocean Engineering & Naval Architecture Engineering,699,ST
IIT Kharagpur,Agricultural & Food Engineering,701,ST
IIT Kanpur,Electrical Engineering,703,GENERAL
IIT (BHU) Varanasi,Electrical Engineering,704,SC
IIT indore,Computer Engineering,706,SC
IIT Kanpur,Mathematics & Scientific Computing,706,ST
IIT Roorkee,Metallurgical Engineering,709,ST
IIT Kanpur,Chemical Engineering,709,SC
IIT Delhi,Engineering Physics,713,SC
IIT Hydrabad,Engineering Physics,716,ST
IIT (BHU) Varanasi,Computer Engineering,717,OBC
IIT (BHU) Varanasi,Metallurgical Engineering,718,ST
IIT Delhi,Biochemical,720,ST
IIT Bombay,Mechanical (M. Tech in Computer Integrated Manufacturing),720,GENERAL
IIT Roorkee,Electrical Engineering,723,OBC
ISM Dhanbad,Mining Engineering,727,ST
IIT Roorkee,Mechanical Engineering,728,OBC
IIT Delhi,Mathematics & Computing,731,SC
IIT Kharagpur,Chemical Engineering,734,SC
IIT (BHU) Varanasi,Mining Engineering,736,ST
IIT Bombay,Engineering Physics *,739,SC
IIT Madras,Biological Engineering,751,ST
IIT Kanpur,Biological Sc. & Bioengineering,751,ST
ISM Dhanbad,Mining Machinery,753,ST
IIT Delhi,Electrical (Power & Automation) Engineering,757,GENERAL
IIT Guwahati,Biotechnology,758,ST
IIT Roorkee,Biotechnology,760,ST
IIT Roorkee,Electronics & Communication Engineering,763,OBC
IIT (BHU) Varanasi,Metallurgical Engineering,764,ST
IIT (BHU) Varanasi,Mechanical Engineering,764,SC
IIT Kharagpur,Mining Safety Engineering,765,ST
IIT Roorkee,Computer Engineering,766,GENERAL
IIT (BHU) Varanasi,Mining Engineering,770,ST
IIT (BHU) Varanasi,Computer Science & Engineering,771,OBC
IIT Guwahati,Civil Engineering,779,SC
IIT (BHU) Varanasi,Electronics Engineering,780,SC
IIT Kharagpur,Mechanical (M. Tech in any specialization),782,OBC
IIT Delhi,Mathematics & Computing,786,GENERAL
IIT Hydrabad,Civil Engineering,788,SC
ISM Dhanbad,Mining Engineering with MBA,790,ST
IIT Delhi,Civil Engineering,791,OBC
IIT (BHU) Varanasi,Civil Engineering,792,SC
IIT Jodhpur,Systems Science,792,ST
IIT Roorkee,Physics,793,ST
IIT Kharagpur,Architecture,795,ST
IIT Bombay,Energy (M. Tech in Energy Systems) Engineering,796,SC
IIT Kanpur,Physics,799,ST
IIT Kharagpur,Mathematics & Computing,800,ST
IIT Kharagpur,Chemistry,806,ST
IIT Kanpur,Economics,809,ST
IIT Bombay,Aerospace Engineering,811,OBC
IIT (BHU) Varanasi,Material Science,811,ST
ISM Dhanbad,Mineral Engineering,813,ST
IIT Bombay,Engineering Physics,815,OBC
IIT Kharagpur,Biotechnology & Biochemical Engineering,815,ST
IIT (BHU) Varanasi,Ceramic Engineering,821,ST
IIT (BHU) Varanasi,Electrical (Power Electronics) Engineering,821,SC
IIT Kharagpur,Instrumentation Engineering,822,SC
IIT Kharagpur,Electronics &Electrical Engineering,824,GENERAL
IIT Madras,Chemical Engineering,827,SC
IIT (BHU) Varanasi,Bioengineering,830,ST
IIT Gandhinagar,Mechanical Engineering,840,SC
IIT Madras,Biological Sciences,841,ST
IIT Roorkee,Applied Mathematics,842,ST
IIT (BHU) Varanasi,Civil with M. Tech in Structural Engineering,843,SC
IIT (BHU) Varanasi,Ceramic Engineering,844,ST
IIT (BHU) Varanasi,Biochemical Engineering,845,ST
IIT Bombay,Chemical Engineering,845,OBC
IIT Roorkee,Geological Technology,848,ST
IIT Roorkee,Process Engineering with MBA,849,ST
IIT Jodhpur,Computer Engineering,849,SC
IIT Jodhpur,Biologically-inspired,850,ST
IIT Roorkee,Polymer Science Technology,851,ST
IIT Kharagpur,Agriculture & Food *,853,ST
ISM Dhanbad,Mineral Engineering (with M.Tech in Mineral),854,ST
ISM Dhanbad,Environmental Engineering,856,ST
IIT Bhubaneshwar,Mechanical Engineering,862,SC
IIT Kharagpur,Chemical Engineering,865,SC
IIT Roorkee,Chemical Engineering,866,SC
IIT Bombay,Civil Engineering,873,OBC
IIT Kharagpur,Industrial Engineering,875,SC
IIT Gandhinagar,Electrical Engineering,880,SC
IIT Bombay,Engineering Physics *,891,OBC
IIT Jodhpur,Mechanical Engineering,893,SC
IIT Mandi,Computer Engineering,900,SC
IIT Ropar,Mechanical Engineering,905,SC
IIT Bhubaneshwar,Computer Engineering,907,SC
IIT Delhi,Chemical Engineering,924,OBC
IIT Gandhinagar,Civil Engineering,925,SC
IIT indore,Electrical Engineering,931,SC
IIT Jodhpur,Electrical Engineering,939,SC
IIT Guwahati,Electronics & Communication Engineering,949,OBC
IIT indore,Mechanical Engineering,951,SC
IIT Bhubaneshwar,Electrical Engineering,957,SC
IIT Madras,Metallurgical Engineering,960,SC
IIT Guwahati,Electronics & Electrical Engineering,962,OBC
IIT Madras,Engineering Design(Automotive),966,SC
IIT Ropar,Electrical Engineering,976,SC
IIT Kanpur,Mechanical Engineering,976,GENERAL
IIT Madras,Mechanical Engineering,981,GENERAL
IIT Bombay,Metallurgical Science,982,SC
IIT Madras,Civil Engineering,986,OBC
IIT Kanpur,Aerospace Engineering,989,OBC
IIT Guwahati,Mechanical Engineering,1000,OBC
IIT Kharagpur,Electrical Engineering,1001,GENERAL
IIT Guwahati,Chemical Engineering,1003,SC
IIT Hydrabad,Engineering Physics,1006,SC
IIT Hydrabad,Electrical Engineering,1014,OBC
IIT Bombay,Metallurgical and Materials Engineering *,1016,SC
IIT Madras,Aerospace Engineering,1021,OBC
IIT Patna,Computer Science and Engineering,1038,SC
IIT Roorkee,Production Engineering,1050,SC
IIT Ropar,Computer Engineering,1062,OBC
IIT Kanpur,Civil Engineering,1069,OBC
IIT Mandi,Mechanical  Engineering,1069,SC
IIT Patna,Mechanical Engineering,1082,SC
IIT Madras,Metallurgical & Material Engineering,1089,SC
IIT Bombay,Metallurgical and Materials Engineering *,1089,SC
IIT Bombay,Engineering Physics,1090,GENERAL
IIT Madras,Naval Arch. & Ocean Engineering,1094,SC
ISM Dhanbad,Mechanical Engineering,1096,SC
IIT Kharagpur,Electronics and Electrical Communication Engineering,1098,GENERAL
IIT Mandi,Electrical Engineering,1105,SC
ISM Dhanbad,Computer Engineering,1106,SC
IIT Madras,Physics,1112,SC
IIT Madras,Electrical Engineering,1113,GENERAL
IIT Kharagpur,Instrumentation Engineering,1113,OBC
IIT Hydrabad,Mechanical Engineering,1116,OBC
IIT Patna,Electrical Engineering,1119,SC
IIT Bhubaneshwar,Civil Engineering,1121,SC
IIT Bombay,Energy (M. Tech in Energy Systems) Engineering,1126,OBC
IIT Kharagpur,Civil Engineering,1127,OBC
IIT (BHU) Varanasi,Mechanical Engineering,1128,OBC
IIT Guwahati,Computer Engineering,1130,GENERAL
IIT Kharagpur,Metallurgical Engineering,1130,SC
IIT Hydrabad,Chemical Engineering,1132,SC
IIT Guwahati,Mathematics Computing,1133,SC
IIT Kanpur,Economics,1134,SC
