Restaurant_Name,URLs
Bruciato Food Factory,https://www.zomato.com/mumbai/bruciato-food-factory-airoli-navi-mumbai
Vilayati,https://www.zomato.com/mumbai/vilayati-vashi-navi-mumbai
Ladu Samrat,https://www.zomato.com/mumbai/ladu-samrat-parel
Square Pizza,https://www.zomato.com/mumbai/square-pizza-marol
Greens Restaurant,https://www.zomato.com/mumbai/greens-restaurant-malad-west
Bademiya,https://www.zomato.com/mumbai/bademiya-colaba
Bake Ur Day,https://www.zomato.com/mumbai/bake-ur-day-airoli-navi-mumbai
Ustaadi,https://www.zomato.com/mumbai/ustaadi-cst
Soul Curry,https://www.zomato.com/mumbai/soul-curry-powai
Illuminati,https://www.zomato.com/mumbai/illuminati-bandra-kurla-complex
Farmer's Cafe,https://www.zomato.com/mumbai/farmers-cafe-pali-hill-bandra-west
Delhi Darbar,https://www.zomato.com/mumbai/delhi-darbar-colaba
Domino's Pizza,https://www.zomato.com/mumbai/dominos-pizza-borivali-west
The Little Door,https://www.zomato.com/mumbai/the-little-door-veera-desai-area
The Orange Mint,https://www.zomato.com/mumbai/the-orange-mint-vasant-vihar-thane-west
Tea Villa Cafe,https://www.zomato.com/mumbai/tea-villa-cafe-vile-parle-east
Mannrangi,https://www.zomato.com/mumbai/mannrangi-goregaon-west
The Homemade Cafe & Bar,https://www.zomato.com/mumbai/the-homemade-cafe-bar-juhu
The Boston Butt,https://www.zomato.com/mumbai/the-boston-butt-pali-hill-bandra-west
La Lola,https://www.zomato.com/mumbai/la-lola-lower-parel
Udipi Vihar,https://www.zomato.com/mumbai/udipi-vihar-goregaon-east
1441 Pizzeria,https://www.zomato.com/mumbai/1441-pizzeria-fort
Yasin's Food Inn,https://www.zomato.com/mumbai/yasins-food-inn-andheri-lokhandwala
Mockingbird Cafe Bar,https://www.zomato.com/mumbai/mockingbird-cafe-bar-churchgate
Jai Hind Lunch Home,https://www.zomato.com/mumbai/jai-hind-lunch-home-lower-parel
Dakshinayan,https://www.zomato.com/mumbai/dakshinayan-juhu
PizzaExpress,https://www.zomato.com/mumbai/pizzaexpress-colaba
Agent Jack's Bar,https://www.zomato.com/mumbai/agent-jacks-bar-malad-west
China Bistro,https://www.zomato.com/mumbai/china-bistro-worli
Smoke House Deli,https://www.zomato.com/SmokeHouseDeli-Pali
Trumpet Sky Lounge,https://www.zomato.com/mumbai/trumpet-sky-lounge-andheri-lokhandwala
Uno Más - Tapas Bar Kitchen,https://www.zomato.com/mumbai/uno-más-tapas-bar-kitchen-bandra-kurla-complex
Natural Ice Cream,https://www.zomato.com/mumbai/natural-ice-cream-powai
Kofuku,https://www.zomato.com/mumbai/kofuku-linking-road-bandra-west
Pizza Hut,https://www.zomato.com/mumbai/pizza-hut-2-powai
La Pino'z Pizza,https://www.zomato.com/mumbai/la-pinoz-pizza-vile-parle-east
The Studs Sports Bar & Grill,https://www.zomato.com/mumbai/the-studs-sports-bar-grill-sakinaka
The Tanjore Tiffin Room,https://www.zomato.com/mumbai/the-tanjore-tiffin-room-versova
Naaz Hotel,https://www.zomato.com/mumbai/naaz-hotel-kurla
Popular,https://www.zomato.com/mumbai/popular-lower-parel
Cafe Madras,https://www.zomato.com/mumbai/cafe-madras-matunga-east
Gaylord,https://www.zomato.com/mumbai/gaylord-churchgate
Same Place Same Time,https://www.zomato.com/mumbai/same-place-same-time-andheri-lokhandwala
Talli Turmeric,https://www.zomato.com/mumbai/talli-turmeric-worli
Millennials Eatery & Bar,https://www.zomato.com/mumbai/millennials-eatery-bar-fort
Wild Dining Restaurant,https://www.zomato.com/mumbai/wild-dining-restaurant-oshiwara
Something's Fishy - The International By Tunga,https://www.zomato.com/mumbai/somethings-fishy-the-international-by-tunga-mahakali
Fable,https://www.zomato.com/mumbai/fable-juhu
Bismillah Catering,https://www.zomato.com/mumbai/bismillah-catering-airoli-navi-mumbai
90 Ft Above,https://www.zomato.com/mumbai/90-ft-above-borivali-west
SodaBottleOpenerWala,https://www.zomato.com/mumbai/sodabottleopenerwala-bandra-kurla-complex
Chulha Village,https://www.zomato.com/mumbai/chulha-village-hiranandani-estate-thane-west-thane
New Martin Hotel,https://www.zomato.com/mumbai/new-martin-hotel-colaba
Bismillah Catering,https://www.zomato.com/mumbai/bismillah-catering-airoli-navi-mumbai
90 Ft Above,https://www.zomato.com/mumbai/90-ft-above-borivali-west
SodaBottleOpenerWala,https://www.zomato.com/mumbai/sodabottleopenerwala-bandra-kurla-complex
Chulha Village,https://www.zomato.com/mumbai/chulha-village-hiranandani-estate-thane-west-thane
New Martin Hotel,https://www.zomato.com/mumbai/new-martin-hotel-colaba
The Irish House,https://www.zomato.com/IrishHouseLP
Warehouse Lounge,https://www.zomato.com/mumbai/warehouse-lounge-manpada-thane-west-thane
K Bhagat Tarachand,https://www.zomato.com/mumbai/k-bhagat-tarachand-borivali-west
Sammy Sosa,https://www.zomato.com/mumbai/sammy-sosa-oshiwara
Burn - Bar & Kitchen,https://www.zomato.com/mumbai/burn-bar-kitchen-bandra-kurla-complex
The Marina Upper deck - Rooftop Cafe- Sea Palace Hotel,https://www.zomato.com/mumbai/the-marina-upper-deck-rooftop-cafe-sea-palace-hotel-colaba
Aromas Cafe,https://www.zomato.com/mumbai/aromas-cafe-powai
South High Restaurant & Bar,https://www.zomato.com/mumbai/south-high-restaurant-bar-lower-parel
